
 1-3-01              , CUCHILLO DE MESA, ,    7.88,    8.03,    8.17,    0.00,    0.00,    0.00,O
 9-11                , CUCHARA GRUESA, ,    2.16,    2.20,    2.24,    0.00,    0.00,    0.00,O
 1F11                , CUCHARA PEQUEÑA, ,    1.38,    1.41,    1.43,    0.00,    1.18,    1.61,O
 12-175              , TIJERA ACERO INOX GRANDE, ,    0.79,    0.81,    0.82,    0.00,    0.00,    0.00,O
 12-178              , TIJERA 5" ACERO INOX, ,    0.19,    0.20,    0.20,    0.00,    0.00,    0.00,O
 551                 , HOZ ACERO FUNDIDO, ,    0.48,    0.49,    0.50,    0.00,    0.00,    0.00,O
 552                 , PICAPORTE (CERRADURA), ,    1.14,    1.17,    1.19,    0.00,    0.00,    0.00,O
 1-26                , PORTA CUCHILLOS CURVO, ,    9.16,    9.33,    9.49,    0.00,    7.84,   10.69,O
 1-3-31              , CUCHILLO MESA POCA FALLA, ,    1.76,    1.80,    1.83,    0.00,    0.00,    0.00,O
 1-3-30              , CUCHILLO MESA MUCHA FALLA, ,    1.69,    1.73,    1.76,    0.00,    0.00,    0.00,O
 12-177              , TIJERA 6" ACERO INOX, ,    0.61,    0.63,    0.64,    0.00,    0.00,    0.00,O
 12-120-49           , HACHA FINA C/PLASTICA, ,    1.26,    1.29,    1.31,    0.00,    1.08,    1.48,O
 1B27                , CUCHARETA, ,    0.75,    0.77,    0.78,    0.00,    0.54,    0.74,O
 97-2                , PLATO HONDO 24 GRUESO, ,    1.21,    1.24,    1.26,    0.00,    0.00,    0.00,O
 20-1622             , PLATO ANCHO H.E.#22, ,    0.79,    0.81,    0.82,    0.00,    0.62,    0.85,O
 1438                , SOPERA H.E.#38, ,    2.38,    2.43,    2.47,    0.00,    0.00,    0.00,O
 1924                , PLATO H.E.#24, ,    1.01,    1.03,    1.05,    0.00,    0.00,    0.00,O
 1926                , PLATO H.E.#26, ,    0.94,    0.96,    0.98,    0.00,    0.00,    0.00,O
 20-3108             , JARRO # 8 DEC. H.ENLOZADO, ,    0.80,    0.82,    0.83,    0.00,    0.65,    0.89,O
 8-169               , VASO DE VIDRIO PARA TE, ,    3.63,    3.70,    3.77,    0.00,    0.00,    0.00,O
 98-2                , PLATO HONDO 26 GRUESO, ,    1.40,    1.43,    1.46,    0.00,    0.00,    0.00,O
 1-167-1             , COLGADOR D/ROPA GRANDE A/I, ,    2.75,    2.80,    2.85,    0.00,    0.00,    0.00,O
 1-169-1             , RECIPIENTE PARA ACEITE A/INOX (GRANDE), ,    2.61,    2.66,    2.71,    0.00,    0.00,    0.00,O
 1414                , SOPERA H.E.#14, ,    0.40,    0.41,    0.42,    0.00,    0.00,    0.00,O
 1416                , SOPERA H.E.#16, ,    0.49,    0.50,    0.51,    0.00,    0.00,    0.00,O
 2201                , PERILLA P/TAZON, ,    0.16,    0.17,    0.17,    0.00,    0.00,    0.00,O
 1E9-4               , CUCHARA 3 PUNTAS A/INOX 1MM, ,    2.45,    2.50,    2.54,    0.00,    1.78,    2.43,O
 1740                , LAVACARA C/TAPA H.E.#40, ,    4.86,    4.95,    5.03,    0.00,    0.00,    0.00,O
 7112                , TETERA H.E.#12, ,    3.53,    3.60,    3.66,    0.00,    0.00,    0.00,O
 20-1605             , REPOSTERO 10/18 H.ENLOSADO X5 T. PLAST, ,    5.83,    5.94,    6.04,    0.00,    4.58,    6.24,O
 83550               , CHAROL H.E. 35X50, ,    7.62,    7.76,    7.90,    0.00,    0.00,    0.00,O
 20-1218             , SOPERA H.E.#18, ,    0.60,    0.62,    0.63,    0.00,    0.00,    0.00,O
 12-47-04            , CUCHILLO 4" C/PLAST KIWI, ,    0.36,    0.37,    0.38,    0.00,    0.00,    0.00,O
 12-300-47-5         , CUCHILLO 5" C/PLAST. KIWI, ,    0.47,    0.48,    0.49,    0.00,    0.42,    0.58,O
 12-300-47-6         , CUCHILLO 6" C/PLAST. KIWI, ,    0.53,    0.54,    0.55,    0.00,    0.46,    0.63,O
 12-300-47-7         , CUCHILLO 7" C/PLAST. KIWI, ,    0.59,    0.61,    0.62,    0.00,    0.51,    0.70,O
 12-300-47-8         , CUCHILLO 8" C/PLAST. KIWI, ,    0.68,    0.70,    0.71,    0.00,    0.57,    0.78,O
 12-300-47-9         , CUCHILLO 9" C/PLAST. KIWI, ,    0.75,    0.77,    0.78,    0.00,    0.63,    0.86,O
 20-3107             , JARRO # 7 DEC. H.ENLOZADO, ,    0.66,    0.68,    0.69,    0.00,    0.54,    0.74,O
 513                 , FOCO AHORRADOR DE LUZ 2U-5W, ,    1.29,    1.32,    1.34,    0.00,    0.00,    0.00,O
 T-510               , BENJAMIN CON CADENA, ,    0.58,    0.60,    0.61,    0.00,    0.00,    0.00,O
 T-125               , INTERRUPTOR SOBREPUESTO 1 SERVICIO, ,    0.37,    0.38,    0.39,    0.00,    0.00,    0.00,O
 T-126               , INTERRUPTOR PARA TIMBRE, ,    0.37,    0.38,    0.39,    0.00,    0.00,    0.00,O
